problem,num_obj,iteration,reference_point,iRVEA_EH-metric,iNSGAIII_EH-metric,iRVEA_R_HV,iNSGAIII_R_HV,iRVEA_PMOD,iNSGAIII_PMOD,iRVEA_PMDA,iNSGAIII_PMDA,iRVEA_CCF,iNSGAIII_CCF,iRVEA_FE,iNSGAIII_FE,iRVEAUPCF,iNSGAIIIUPCF,iRVEA_UPCF,iNSGAIII_UPCF
DTLZ1,3,1,"[2.88, 17.3, 0.0]",0.6831704887275641,0.5967938116285026,2.550805119280959,8.319130051881036,12.587070736464687,10.693368384377637,20.345842125342163,14.991345980280625,1,12,2530,2412,,,0.07945316178520492,0.32461664863024153
DTLZ1,3,2,"[0.0, 0.819, 2.05]",0.0,0.5338076306141983,0.0,5.664496591114288,13.089770325438135,9.695036575410894,18.056234951195222,8.84184717379174,0,12,3302,3612,,,0.0,0.10204266722836684
DTLZ1,3,3,"[0.0, 0.0, 1.58]",0.0,0.43388018126928235,0.0,6.010435939844883,12.103101962559315,8.195563233389578,20.27840725568583,7.630132101628579,0,12,4384,4812,,,0.0,0.022786852819859486
DTLZ1,3,4,"[0.237, 0.315, 0.0]",0.0,0.19044674430680972,0.0,5.705994910646275,11.708059030608052,5.338817068053034,17.15614727256289,5.544363856795645,0,12,5502,6012,,,0.0,0.028594558100130875
DTLZ1,3,5,"[2.22e-16, 2.22e-16, 0.483]",0.0,0.3847595678799083,0.0,5.05465841643891,9.919111278011346,7.105385648157091,13.46607784486398,5.61246761518498,0,12,6196,7212,,,0.0,0.04551053427768113
DTLZ1,3,6,"[2.22e-16, 2.22e-16, 0.415]",0.0,0.6921353025658836,0.0,7.021358591998756,8.791479707268984,5.3659624341815615,12.346320908508641,2.3467544270978293,0,12,7580,8412,,,0.0,0.032964809712222924
DTLZ1,3,7,"[2.22e-16, 2.22e-16, 0.415]",0.9698676246202163,0.8418316712388344,1.0931483652703726,6.823417214658734,8.765544762052615,4.889945653913307,10.991501868761404,1.8328524548537208,0,12,8980,9612,,,0.0,0.0014646948935497592
DTLZ1,3,8,"[2.22e-16, 2.22e-16, 0.414]",0.0,0.09360915276385262,0.0,7.859522713472673,9.271899199287155,5.309975037853863,10.771320516001653,0.5804108507000378,0,12,10380,10812,,,0.0,7.296347745420906e-05
DTLZ2,3,1,"[2.25e-17, 0.165, 0.989]",0.7586479917059038,0.9051063420231549,7.925903302941222,8.033517671418874,8.382256715111899,14.332939887303539,0.6600798177305104,0.5766768743259617,7,12,1430,2412,,,0.0025438148693499346,0.002928191956467965
DTLZ2,3,2,"[9.09e-18, 1.0, 0.0]",0.8028766106971924,0.5773770979928403,7.98121133132864,7.38407846160797,6.8071017351249825,4.344180705537968,0.611656965865675,0.6993268089355689,13,10,2330,3612,,,0.025772418583403817,0.06254404059979482
DTLZ2,3,3,"[0.812, 0.609, 0.0]",0.5268445619949064,0.9089267073959131,5.9502383451647765,7.322706321881771,3.5785289373059195,5.975068810782886,0.8773556331830115,0.6903053468916284,3,11,2740,4812,,,0.0004252879318141462,0.01204701148212156
DTLZ2,3,4,"[0.932, 0.373, 0.0]",0.7922819123272838,0.9140922443960446,7.733032056672001,7.382901155078757,6.5345328048894205,23.30225164075467,0.6898817852701961,0.6225090347088483,11,11,3926,6012,,,0.0005726548434723053,0.000666121703363013
DTLZ2,3,5,"[0.183, 0.183, 0.954]",0.6323781989943288,0.4797315706151232,7.6770742519256485,6.330117886670727,4.070133986336121,4.79580551489245,0.8168542718204255,0.8160176978030745,4,11,4338,7212,,,0.0,0.010483211192159121
DTLZ2,3,6,"[0.188, 0.188, 0.958]",0.6366126585369948,0.8507464216395384,7.699423527554621,7.83185488383487,4.532358567311155,7.166416605484914,0.8165811539587198,0.6933471387884241,4,11,4738,8412,,,0.005448563941964397,0.017381308035470642
DTLZ2,3,7,"[0.191, 0.191, 0.961]",0.6736510816182637,0.8908408491295554,7.721578330798861,7.9551467385156025,4.504327169500207,20.55629591988363,0.7819205083238601,0.6339032875555383,4,12,5156,9612,,,0.000751483782980798,0.0015181162356364677
DTLZ2,3,8,"[0.191, 0.191, 0.961]",0.7795575842773403,0.9034399310504115,7.543364872789213,7.970823632400503,9.656575656196544,14.17163062737299,0.6876880432619088,0.6335324259110496,14,11,6296,10812,,,0.0006284868374729709,0.0006679155590638226
DTLZ3,3,1,"[21.2, 0.0, 52.9]",0.6872868210170483,0.32758504349342715,7.3864819304080624,8.004547523642698,20.36229018847866,12.012952260036593,34.48191875098346,31.122533990180543,4,12,2544,2412,,,0.022611004114759057,0.011862462496317413
DTLZ3,3,2,"[4e-32, 3.77, 9.43]",0.6995219930525857,0.3416263794026853,5.463382840484662,2.450813507509724,15.58277371672998,19.355317748447845,20.791760630202067,30.957162757856622,10,7,3922,3612,,,0.6725982969239057,0.036548621861920934
DTLZ3,3,3,"[1.26e-32, 0.386, 2.32]",0.4122787637178523,0.27230925083385166,2.934053118694767,1.5836381526640655,12.299088507115787,12.897795421313553,15.356206646373856,20.161906198351737,13,5,5434,4812,,,0.5887068707720726,0.0750161459712812
DTLZ3,3,4,"[0.172, 0.0, 1.03]",0.5208107557414493,0.27309866197653787,3.6084139212308246,1.190207092967422,9.848780328748045,12.031608661642295,10.170337021973005,16.920433120204706,11,3,6762,6012,,,0.7595258508719145,0.010637776405833356
DTLZ3,3,5,"[0.185, 0.185, 0.964]",0.7892892921163648,0.49240286237918324,6.195162252013944,1.046295755525522,6.029776074984767,10.59223591976583,3.764738895563852,11.859050111208546,10,2,7690,7212,,,0.0,0.0
DTLZ3,3,6,"[0.191, 0.191, 0.969]",0.8361875446401772,0.5985428411943481,6.676639502669439,1.8541603231004118,5.483536005749133,8.972520785112472,2.787675733298372,9.379151988636414,14,2,9280,8412,,,0.0,0.0
DTLZ3,3,7,"[0.192, 0.192, 0.97]",0.8090614187913123,0.2920627065342587,7.397677247565872,1.84553898864245,4.535267535752359,6.255599146822886,1.679793090017973,5.054951673891015,5,5,10880,9612,,,0.9166692795189906,0.025543818412251434
DTLZ3,3,8,"[0.193, 0.193, 0.971]",0.952421277706166,0.47791655298203467,8.244682595334941,7.395398529084075,7.003741112705738,9.79607802859558,0.7568236557971851,9.1538222151074,15,5,12480,10812,,,0.9980279063431049,0.9539190501683312
DTLZ4,3,1,"[5.8e-17, 1.0, 0.0]",0.0,0.5,0.0,1.0048782618901266,2.708161439052321,2.8535568496143133,1.1127895627611553,1.1113334370644463,0,2,422,2412,,,0.0,0.0
DTLZ4,3,2,"[2.48e-19, 0.801, 0.601]",0.0,1.0,0.0,1.0009199576166288,2.7068126338030964,2.706614146710642,1.0562421918928613,1.0559532714114117,0,1,622,3612,,,0.0,0.0
DTLZ4,3,3,"[0.69, 0.69, 0.23]",0.0,1.0,0.0,1.001454242450917,3.2648663247724627,3.2648103282993346,0.8143141799707782,0.8141696857778824,0,1,822,4812,,,0.0,0.0
DTLZ4,3,4,"[0.444, 0.889, 0.222]",0.0,1.0,0.0,1.0001648026305276,2.9330326100209834,2.9330158599202956,0.9021483415337179,0.9021194386596082,0,1,1022,6012,,,0.0,0.0
DTLZ4,3,5,"[0.677, 0.677, 0.218]",0.0,0.08333333333333333,0.0,1.0002504866004367,3.2801865663527323,5.120327208239672,0.8132930492121689,0.8132671228539597,0,12,1222,7212,,,0.0,0.0
DTLZ4,3,6,"[0.677, 0.677, 0.218]",0.0,0.08333333333333333,0.0,1.0001286949674937,3.2801823399813044,5.120327208239672,0.813280443285823,0.8132671228539597,0,12,1422,8412,,,0.0,0.0
