,iRVEA_EH-metric,iNSGAIII_EH-metric,iRVEA_R_HV,iNSGAIII_R_HV,iRVEA_PMOD,iNSGAIII_PMOD,iRVEA_PMDA,iNSGAIII_PMDA,iRVEA_CCF,iNSGAIII_CCF,iRVEA_FE,iNSGAIII_FE,iRVEAUPCF,iNSGAIIIUPCF,iRVEA_UPCF,iNSGAIII_UPCF
0,0.748239719413126,0.642589980999408,4.17955297809384,7.34264121040758,12.0616937760848,13.3314697959682,17.053453093279,19.8313441019305,3.6,10,2325.8,2412,,,0.258417418400982,0.180525406798542
1,0.532452645207061,0.340815189632514,3.27024623078598,3.44665327819041,10.4477911966861,11.7717855231691,12.86086904882,16.6946846286138,6.1,10.2,3378.6,3612,,,0.375294212211874,0.206659669736028
2,0.527513340483576,0.453951035771435,3.00514895438014,3.93869633539305,8.73221265832081,8.9084705956495,11.0184315428854,12.5730343879864,4.2,9.5,4572.8,4812,,,0.082224448943312,0.086370985450775
3,0.640961943682634,0.243302793042111,3.37220130535521,3.07179116284049,8.10269092872577,7.49540957227207,8.30651711813279,10.1599819907324,3.7,10.2,5301,6012,,,0.31144823645756,0.150237535935713
4,0.463565840018497,0.256321750540121,3.75994738532738,3.0097278319452,7.19635415797795,9.68776835812449,7.74478811658682,9.00069623031553,6,10,6223.4,7212,,,0.35020707402589,0.141557507691485
5,0.391114109115031,0.394625711092873,3.32339765132596,3.36768408428973,6.72749618027581,12.9674982087166,6.69604377676458,9.60813803947793,7,8,7608.4,8412,,,0.135143138139484,0.03500359095819
6,0.643261649713746,0.467919435894596,3.65014911200881,3.46981749943914,5.75123146122869,8.46027309948626,4.9547812005697,6.12528774381089,6,8.9,9008.4,9612,,,0.124494094377196,0.035588837109906
7,0.699295672951298,0.523599970621698,3.40525548443865,3.24833116992543,5.78713392036206,6.23226487493241,3.59330213245059,4.21786277854698,5.4,7.2,10408.4,10812,,,0.021044813430314,0.015811577357599
8,0.822868921010974,0.846692284377414,7.91301528105444,7.76668225837073,6.76712815462385,10.4899640039147,0.658385400635083,0.635099041146421,9.6,11.5,2190,2412,,,0.021236198631386,0.022120050646837
9,0.787474961030675,0.796639035001548,7.47553196858466,7.05979358565564,6.06465457598774,7.7603461106714,0.627232034497035,0.622188527102256,9.5,11,3156.4,3612,,,0.006068897607671,0.010822831671038
10,0.526630636623151,0.802372624975066,5.60738710672917,7.19749830430194,3.63447916721184,10.6213856350739,0.861051440790341,0.705923933309606,2.8,11.5,3566.4,4812,,,0.000693984766837,0.020435674736911
11,0.657856245569322,0.922466734022207,7.46835332442474,7.70328056567869,4.52556332559683,18.9464230999023,0.80165810200484,0.630188859144613,5.8,11.1,4170.4,6012,,,0.000286622080595,0.002297086273428
12,0.628166071291809,0.384578631298461,7.58801213914772,4.26838329493662,4.20699402096569,4.90402702892173,0.818201008563375,0.863500115910371,4.3,10.1,4609.8,7212,,,0.000154130247844,0.011511390128972
13,0.683450879551379,0.666105333283924,7.71835693964942,6.23245025543575,5.23166808156597,11.1373256181012,0.770686548817641,0.750754205831427,6.2,10.7,5155.2,8412,,,0.003837143734694,0.007459435149062
14,0.745160016914066,0.727871916934115,7.75152188623943,6.9438030938663,6.67426264746604,12.7315744807305,0.723876954966704,0.718846414380698,9.1,11.4,6166.6,9612,,,0.007948448576782,0.017503911351179
15,0.774301772387075,0.819247950570891,7.72742218285908,7.27084653238141,8.30252897068272,11.7689124997979,0.69493544507184,0.683490204365249,12,11,7526.8,10812,,,0.005075533497622,0.004688260252227
