problem,num_obj,iteration,reference_point,iRVEA_EH-metric,iNSGAIII_EH-metric,iRVEA_R_HV,iNSGAIII_R_HV,iRVEA_PMOD,iNSGAIII_PMOD,iRVEA_PMDA,iNSGAIII_PMDA,iRVEA_CCF,iNSGAIII_CCF,iRVEA_FE,iNSGAIII_FE
DTLZ1,3,1,"[2.88, 17.3, 0.0]",0.8422888210931686,0.7873764685022482,7.40297861375292,8.107012763570124,14.217487081481195,13.692747670383913,17.325485973000575,18.467342280649028,9,12,2008,2412
DTLZ1,3,2,"[0.0, 0.819, 2.05]",0.0,0.5471062047056154,0.0,4.918451411342677,9.997633976824389,8.163266847230389,10.604462158712087,8.650331167019198,0,12,2762,3612
DTLZ1,3,3,"[0.0, 0.0, 1.58]",0.0,0.6055656457230972,0.0,5.31020928630104,9.194461934751104,7.130219308076428,11.269581220337354,6.609894999938863,0,12,4012,4812
DTLZ1,3,4,"[0.237, 0.315, 0.0]",0.0,0.34496570966461276,0.0,4.723624967851762,8.219089888474635,6.100092150149064,8.405556097580826,6.064361078603349,0,12,4776,6012
DTLZ1,3,5,"[2.22e-16, 2.22e-16, 0.483]",0.0,0.31324928640832667,0.0,6.067195280789325,8.376123743957203,5.133331795943078,7.391804318707257,2.4534433361805665,0,12,5602,7212
DTLZ1,3,6,"[2.22e-16, 2.22e-16, 0.415]",1.0,0.6980010205837966,1.0,5.088558399615098,6.022434462144337,4.859985570783451,5.1050407822716615,2.3130676589816628,0,12,7002,8412
DTLZ1,3,7,"[2.22e-16, 2.22e-16, 0.415]",1.0,0.647940386847015,1.0,4.943314887314058,5.802429913108518,4.726874746536906,4.466017227985069,2.2627736240805096,0,12,8402,9612
DTLZ1,3,8,"[2.22e-16, 2.22e-16, 0.414]",0.5799555910901376,0.4460140463607517,3.845692535819931,3.702967610769187,4.8483141318369025,4.297046496653546,2.434091408719408,1.9825486531192447,3,12,9802,10812
DTLZ2,3,1,"[2.25e-17, 0.165, 0.989]",0.812278068554095,0.9213698799982473,7.928075034276013,8.013585349211851,8.861662149293622,14.975501735616332,0.648964257427136,0.5731820007615025,14,12,2578,2412
DTLZ2,3,2,"[9.09e-18, 1.0, 0.0]",0.7663993694144622,0.08813510775896281,7.994569604795663,1.5997811132704838,4.935877807042264,3.8348612283582426,0.6672082855584335,1.1116809881184693,8,12,3608,3612
DTLZ2,3,3,"[0.812, 0.609, 0.0]",0.5264625338328335,0.928863188996587,5.947997893748001,7.347989183089094,3.5400293010250365,16.32604454877815,0.8773253957751148,0.6545677308584613,3,11,4018,4812
DTLZ2,3,4,"[0.932, 0.373, 0.0]",0.5658894725603435,0.9217180006076316,7.21309090885719,7.304162675715157,3.534762391287453,11.810754148413798,0.8820752143923598,0.6240965468409234,3,11,4418,6012
DTLZ2,3,5,"[0.183, 0.183, 0.954]",0.6862387732062554,0.36924445421222724,7.6907791255287306,4.584553181097926,5.086751227229571,4.784728512753835,0.7571979834406761,0.8402396905358896,6,11,4852,7212
DTLZ2,3,6,"[0.188, 0.188, 0.958]",0.7283579826841369,0.8940767947919661,7.789241892287647,7.906674751139843,5.554994591347298,21.84657469238864,0.727931469191561,0.6321535274949505,8,11,5490,8412
DTLZ2,3,7,"[0.191, 0.191, 0.961]",0.7717507643248926,0.897165716542967,7.541000072494479,7.9720300395351495,9.17448895290882,23.07712388702755,0.6898284703156324,0.6323761806101025,12,12,7024,9612
DTLZ2,3,8,"[0.191, 0.191, 0.961]",0.7893175618421283,0.8876801884127786,7.818319508403125,7.9560994776224945,7.65135363570786,15.214609666044808,0.6836516530291032,0.6341136365175934,14,9,8624,10812
DTLZ3,3,1,"[21.2, 0.0, 52.9]",0.3994267742284584,0.2104064166614355,7.74778421203062,8.374322153568578,16.322443268048826,10.943188680151675,21.87110245292776,28.21924477119522,9,12,2860,2412
DTLZ3,3,2,"[4e-32, 3.77, 9.43]",0.6785403554895124,0.42667836900265366,5.350840256576785,1.5695627375389236,14.281532535649754,13.736012719238754,19.90188483540302,26.852526672652534,12,3,3834,3612
DTLZ3,3,3,"[1.26e-32, 0.386, 2.32]",0.6784511557884743,0.4622077219806036,5.298601928573037,1.3141802380611696,9.734075060985248,11.41702371253654,9.875546176307806,26.474224888217748,4,2,5144,4812
DTLZ3,3,4,"[0.172, 0.0, 1.03]",0.6072185142132384,0.272856948696387,4.672200952842183,1.5447422898712806,7.908442433704895,12.290028286454616,7.6928888705304335,15.72073422343613,13,3,6366,6012
DTLZ3,3,5,"[0.185, 0.185, 0.964]",0.7504538704802977,0.19869271578027178,5.732495858338332,1.2540921202171307,6.604325549104432,8.822489996087702,4.875543824076369,14.995090198117856,11,3,7364,7212
