problem,num_obj,iteration,reference_point,iRVEA_EH-metric,iNSGAIII_EH-metric,iRVEA_R_HV,iNSGAIII_R_HV,iRVEA_PMOD,iNSGAIII_PMOD,iRVEA_PMDA,iNSGAIII_PMDA,iRVEA_CCF,iNSGAIII_CCF,iRVEA_FE,iNSGAIII_FE
DTLZ1,3,1,"[2.88, 17.3, 0.0]",0.0,0.22854393867556613,0,8.0,18.891213468758473,7.802938640694597,33.04670038705256,9.547315148895496,0,10,2496,2412
DTLZ1,3,2,"[0.0, 0.819, 2.05]",0.0,0.11415509876558927,0,6.692060106754138,20.63370309530181,6.696546952423546,29.669529506074056,6.8918043762406604,0,12,3460,3612
DTLZ1,3,3,"[0.0, 0.0, 1.58]",0.0,0.22255711923365215,0,6.776885133921236,15.954235733684724,7.747775312429033,27.801142093255198,6.51649286927546,0,12,4454,4812
DTLZ1,3,4,"[0.237, 0.315, 0.0]",0.0,0.13908201737340903,0,7.213308451250742,16.98922710275819,6.318989864078576,20.47054501055152,5.849383159869741,0,12,5580,6012
DTLZ1,3,5,"[2.22e-16, 2.22e-16, 0.483]",0.0,0.23849144520367888,0,7.195075912596728,9.82852841814698,4.499553870785823,15.845888844356647,2.2055163229632884,0,12,6582,7212
DTLZ1,3,6,"[2.22e-16, 2.22e-16, 0.415]",0.0,0.2973489349670543,0,7.406039137191285,7.386654803744791,4.701833630699287,10.888104894969828,1.5264432260677057,0,12,7868,8412
DTLZ1,3,7,"[2.22e-16, 2.22e-16, 0.415]",0.0,0.26517738277910363,0,7.2331728205625785,8.28128893537867,4.705838223783349,10.091713545209462,1.389511396874162,0,12,9268,9612
DTLZ1,3,8,"[2.22e-16, 2.22e-16, 0.414]",0.0,0.036906632391572845,0,6.991596137117682,6.47642166480787,4.270931837890751,8.046885653104086,1.2821705257306044,0,12,10668,10812
DTLZ2,3,1,"[2.25e-17, 0.165, 0.989]",0.8970630350533013,0.8203571758777323,7.946988929859558,8.006856130295818,7.785842610194765,7.222594520283833,0.6472480104807189,0.6536060715932782,9,12,1770,2412
DTLZ2,3,2,"[9.09e-18, 1.0, 0.0]",0.7766134051631407,0.9162586040952215,6.754662396025612,8.02012158899379,7.255911780783691,17.412194654652144,0.6269276972562874,0.5101458305252197,9,12,2826,3612
DTLZ2,3,3,"[0.812, 0.609, 0.0]",0.5264600254906064,0.9336335238142943,5.947236971930042,8.152709255557863,3.1569698279176004,13.204532742409842,0.8773237860363142,0.6679077997543853,3,11,3236,4812
DTLZ2,3,4,"[0.932, 0.373, 0.0]",0.5650380082015041,0.9217215445821735,7.210456114989321,7.736154844159583,3.3531698493642033,22.988073295489176,0.8161848067345717,0.6206470147214559,3,12,3636,6012
DTLZ2,3,5,"[0.183, 0.183, 0.954]",0.5749626336154846,0.8629680160253582,7.459888566139121,7.483159393719204,3.0249416609790556,6.762994040087244,0.8785423889958537,0.6927522853176057,3,11,4036,7212
DTLZ2,3,6,"[0.188, 0.188, 0.958]",0.5759690796387272,0.8941912113352265,7.505931523904756,7.900603354819108,3.0260268989758803,5.500476544735103,0.8781617296982912,0.6903538188279201,3,11,4436,8412
DTLZ2,3,7,"[0.191, 0.191, 0.961]",0.6341160427883996,0.8951930981799847,7.716307945319287,7.966330345986826,4.380502119461147,5.4379399011745,0.8170987546150358,0.6939462640105748,4,10,4836,9612
DTLZ2,3,8,"[0.191, 0.191, 0.961]",0.6420394129058116,0.8476544070097777,7.729201484578309,7.533549225300692,4.06868813936434,6.528168289874997,0.8171356997488468,0.7003965864975633,4,11,5236,10812
DTLZ3,3,1,"[21.2, 0.0, 52.9]",0.85799696770525,0.3507369909597195,7.999999999999999,7.223097894587364,27.01960080275689,33.03272029443239,49.20125028314738,90.61026032575184,11,9,2388,2412
DTLZ3,3,2,"[4e-32, 3.77, 9.43]",0.5519858823903971,0.22395706928830844,3.649911511669879,2.00496308399185,29.92584382576606,18.0838433674653,47.54428046037738,63.60846542229037,8,10,3784,3612
DTLZ3,3,3,"[1.26e-32, 0.386, 2.32]",0.434016956834886,0.13025744529834518,3.03098942545608,1.3011916548101325,24.67653999551539,17.32744996603858,37.38726294301733,53.019735336604775,10,7,5238,4812
DTLZ3,3,4,"[0.172, 0.0, 1.03]",0.34343825109005843,0.26883034589712834,2.050066298846385,1.1011501953095633,20.35548346606394,13.290703957340256,25.933281951798524,31.273731416563162,7,4,6380,6012
DTLZ3,3,5,"[0.185, 0.185, 0.964]",0.568015565337199,0.18188974737743016,3.774427393235056,1.1576261965487264,14.64771091711336,12.22471028891012,16.521728720208774,30.101210799480963,8,5,7484,7212
DTLZ3,3,6,"[0.191, 0.191, 0.969]",0.6772449537039414,0.36085596207716675,5.139774559195118,2.990042001547704,11.089330339585906,12.201135669694384,12.48836777809297,22.417384038937566,11,4,9072,8412
DTLZ3,3,7,"[0.192, 0.192, 0.97]",0.6020149575633522,0.36033747338791394,4.032929685617297,1.3337849391182444,8.505533156582658,12.445316521675334,8.22902040899,16.655450868396535,12,1,10672,9612
DTLZ3,3,8,"[0.193, 0.193, 0.971]",0.6450122702242007,0.5181995494147527,5.057786808367864,1.1924082730548902,7.632527407460191,12.551876404275706,7.012652581149791,15.75519613073129,15,1,12272,10812
DTLZ4,3,1,"[5.8e-17, 1.0, 0.0]",0.0,0.7062879044542901,0,8.003380379975468,2.7103295128423377,3.5051597064754314,1.1157992637743157,0.6629418770119105,0,12,422,2412
DTLZ4,3,2,"[2.48e-19, 0.801, 0.601]",1.0,0.08333333333333333,1.0000188261867795,5.844613751288436,2.706653889711477,4.582765837523918,1.0560111367847194,0.8552098275432325,1,11,622,3612
DTLZ4,3,3,"[0.69, 0.69, 0.23]",0.0,0.08333333333333333,0,7.845292462849255,3.2648260870762926,7.065734324952723,0.8142103404015767,0.7473262471932088,0,12,822,4812
DTLZ4,3,4,"[0.444, 0.889, 0.222]",1.0,0.08333333333333333,3.010856155009421,8.180906737856724,2.933033316375247,6.511409081381995,0.9021495603978588,0.744406639314055,1,12,1022,6012
DTLZ4,3,5,"[0.677, 0.677, 0.218]",0.782001491906972,0.5240877797759359,4.723583510545443,7.922823463769306,3.280183780697688,6.900181262252825,0.8132847403966592,0.7523169272892519,1,9,1222,7212
DTLZ4,3,6,"[0.677, 0.677, 0.218]",0.7820024565512839,0.6048440670583648,4.71622204555646,7.545859839774569,3.2801810774999307,7.047657095054875,0.8132766778585382,0.7346247222830441,1,11,1422,8412
DTLZ4,3,7,"[0.677, 0.677, 0.218]",0.7195199969609839,0.5812910127371455,4.5814593675289546,7.216347532946826,3.2801810774999307,6.605846552092517,0.8132766778585382,0.7083265047693299,1,11,1622,9612
DTLZ4,3,8,"[0.677, 0.677, 0.218]",0.7757027800355287,0.6135313623949742,4.718259856459472,7.281253818382735,3.2801799034725536,7.0767563187115545,0.8132731763144345,0.7101379396501128,1,9,1822,10812
DTLZ5,3,1,"[0.352, 0.352, 0.897]",0.6976043487349689,0.6108697164976253,7.7227435702013665,7.691695828456082,4.66232011759576,9.035971487566734,0.7482332604418677,0.7064923025830018,6,12,2048,2412
DTLZ5,3,2,"[0.622, 0.622, 0.553]",0.878644718617455,0.6239872967002668,8.42299964104979,8.41667863415638,7.410290425848116,9.559281541293855,0.7801439761184948,0.7399595867541433,4,12,2842,3612
DTLZ5,3,3,"[0.562, 0.649, 0.569]",0.9427119638742805,0.4190881426506628,7.648052438357516,4.618913499170448,7.432070405320184,6.133233565036791,0.8095846723534753,0.769341966127652,0,12,4190,4812
DTLZ5,3,4,"[0.562, 0.649, 0.569]",0.8745053773784298,0.43853495842607587,7.617080223417106,5.085240932009215,9.304825128177688,7.364637100603254,0.8197528533133419,0.7619569236805618,0,12,5590,6012
DTLZ5,3,5,"[0.512, 0.512, 0.655]",0.9243103547098808,0.4268881578088267,7.913671583497692,4.479001875103877,3.4723821331126175,8.10302768536109,0.7344268538390286,0.7416674608519017,4,11,6894,7212
DTLZ5,3,6,"[0.512, 0.512, 0.655]",0.9245679602290633,0.46946231082036094,7.912823772926018,5.793714431083901,3.654708255303322,9.610575263691816,0.7341610874271305,0.7373221536117306,4,11,8294,8412
