problem,num_obj,iteration,reference_point,iRVEA_EH-metric,iNSGAIII_EH-metric,iRVEA_R_HV,iNSGAIII_R_HV,iRVEA_PMOD,iNSGAIII_PMOD,iRVEA_PMDA,iNSGAIII_PMDA,iRVEA_CCF,iNSGAIII_CCF,iRVEA_FE,iNSGAIII_FE
DTLZ1,3,1,"[2.88, 17.3, 0.0]",0.8179138403192417,0.8252697850006074,7.8905390235209625,8.136652201619977,11.243593152003523,15.098070522717371,14.223678518489653,16.507167978385656,14,11,2044,2412
DTLZ1,3,2,"[0.0, 0.819, 2.05]",0.6207983516106322,0.20258557128462557,4.555318984851782,1.826171536883683,9.1913301808092,9.393602669326217,10.753494458719855,17.33766317025466,11,8,3324,3612
DTLZ1,3,3,"[0.0, 0.0, 1.58]",0.6118610990069078,0.5,4.8563538712628045,1.0,7.776966673838807,13.488852596316391,9.450759194969576,16.365612783812857,11,2,4344,4812
DTLZ1,3,4,"[0.237, 0.315, 0.0]",0.7067350586870882,0.3288712303252604,5.434040994086654,3.562106943490683,7.959330233433008,10.148592761565194,7.500182283871146,14.73337217072998,10,8,5060,6012
DTLZ1,3,5,"[2.22e-16, 2.22e-16, 0.483]",0.5235234507571231,0.5,4.615674782419859,1.0,6.997459815833897,11.28585149679447,8.171638903083451,13.065841831021894,11,2,6200,7212
DTLZ1,3,6,"[2.22e-16, 2.22e-16, 0.415]",0.794276995382669,0.5,6.401474251498026,1.0,4.70748263678467,10.824046869212836,3.373837746778074,11.682604557831125,9,2,7600,8412
DTLZ1,3,7,"[2.22e-16, 2.22e-16, 0.415]",0.8691788409054394,0.5,7.076726614054579,1.0,4.318399122023706,8.183954582168159,1.3488580417214957,7.5053598581722225,10,2,9000,9612
DTLZ1,3,8,"[2.22e-16, 2.22e-16, 0.414]",0.9399493842755807,0.5,8.02048821570721,1.0000000000000002,6.260899353261602,8.017253449304132,0.5252958185844998,6.887973687566643,13,1,10400,10812
DTLZ2,3,1,"[2.25e-17, 0.165, 0.989]",0.8743904845635215,0.8374220295582214,7.843389981350609,8.018736982250854,7.519718637631571,7.790213125069654,0.6505302483369294,0.6554654957008781,10,11,2754,2412
DTLZ2,3,2,"[9.09e-18, 1.0, 0.0]",0.7762905668530086,0.8828108606861933,7.9808809425738865,7.44133426547259,6.140763149993527,5.463644125054319,0.6384942159740874,0.6140697448569987,9,11,3768,3612
DTLZ2,3,3,"[0.812, 0.609, 0.0]",0.8810423609768928,0.6900510536105221,8.080061299555435,7.946353354221459,7.668591440221515,4.872328863919495,0.7147332887804374,0.7524830796066854,9,12,4284,4812
DTLZ2,3,4,"[0.932, 0.373, 0.0]",0.7736055204508329,0.8969446489782691,7.720468281004114,7.392553429059274,6.762342111464453,5.763338829289231,0.6963627573650775,0.6583002927116698,10,12,5536,6012
DTLZ2,3,5,"[0.183, 0.183, 0.954]",0.6710949449478307,0.8696463177529234,7.504729621497623,7.579215167768059,5.158126138700526,18.360786448411332,0.7618062867265704,0.6326354829117212,6,12,6072,7212
DTLZ2,3,6,"[0.188, 0.188, 0.958]",0.791055333249632,0.8861367168363938,7.750232807359353,7.957416079855403,9.82188658156382,17.103745734613568,0.6845757050032842,0.6340213425083455,14,12,7124,8412
DTLZ2,3,7,"[0.191, 0.191, 0.961]",0.7907983280817995,0.8974705385452992,7.811125626814005,7.99517453299271,9.132227943116558,22.668565803202284,0.6880601068241043,0.6328187286795665,11,11,8724,9612
DTLZ2,3,8,"[0.191, 0.191, 0.961]",0.7946987386112389,0.8970989636369816,7.810169318245684,7.969608820749617,6.607517993373074,18.788030873555105,0.6873968490121547,0.6323827870285741,11,12,10324,10812
DTLZ3,3,1,"[21.2, 0.0, 52.9]",0.0,0.16613634738606448,0.0,8.003101752626591,21.704186631632034,24.37245585858885,34.588754229329155,29.078775827749837,0,11,2912,2412
DTLZ3,3,2,"[4e-32, 3.77, 9.43]",0.0,0.2744708226000622,0.0,7.468953562614597,18.631513610699265,7.685447375974249,29.121098200910062,12.243876738113164,0,12,4058,3612
DTLZ3,3,3,"[1.26e-32, 0.386, 2.32]",0.0,0.16925194778224212,0.0,5.113166592126547,14.447645929834039,9.79130045816807,18.977698923278343,8.623532182999968,0,7,5298,4812
